             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          12260421       cpu      VFF  yxzhang  R       4:50      1 cpu001
          12260310       cpu     code    lazar  R    1:38:57      1 cpu002
          12246950       cpu  jupyter choidami  R   22:30:51      1 cpu008
        12232108_1       cpu zsc-vitb    slowe  R 3-07:08:25      1 cpu011
        12232101_1       cpu zsc-resn    slowe  R 3-11:23:27      1 cpu001
        12239098_1       cpu zsc-mae_    slowe  R 1-10:45:32      1 cpu011
        12239100_1       cpu zsc-none    slowe  R 1-16:57:18      1 cpu010
          12258926       cpu   wbc128 hujingyu  R   10:53:02      1 cpu009
          12255767       cpu mnist_ac liaosaif  R   14:21:52      1 cpu002
          12255768       cpu mnist_ac liaosaif  R   14:21:52      1 cpu003
          12255769       cpu mnist_ac liaosaif  R   14:21:52      1 cpu003
          12257655       cpu    mnist liaosaif  R   13:28:58      1 cpu004
          12260415       cpu     bash  pwilson  R       8:53      1 cpu001
          12260302       cpu    mnist liaosaif  R    1:44:23      1 cpu002
          12260303       cpu    mnist liaosaif  R    1:44:23      1 cpu004
          12259062   rtx6000     bash   spitis  R    7:28:07      1 gpu134
          12260314   rtx6000 test_vsc   zining  R    1:33:01      1 gpu127
          12259131   rtx6000     bash samavise  R    3:10:29      1 gpu121
          12260168   rtx6000     bash  hhamidi  R    2:20:09      1 gpu134
          12260377   rtx6000     bash shekshaa  R      24:48      1 gpu139
          12255705   rtx6000 equilibr burgeran  R   15:00:17      1 gpu141
          12255703   rtx6000 equilibr burgeran  R   15:05:45      1 gpu129
          12255708   rtx6000 equilibr burgeran  R   14:54:33      1 gpu130
          12260368   rtx6000     bash  ruiashi  R      29:01      1 gpu139
        12258914_0   rtx6000      run    minht  R   11:01:14      1 gpu156
        12258914_1   rtx6000      run    minht  R   11:01:14      1 gpu156
        12258914_2   rtx6000      run    minht  R   11:01:14      1 gpu129
        12258914_3   rtx6000      run    minht  R   11:01:14      1 gpu129
        12258914_4   rtx6000      run    minht  R   11:01:14      1 gpu130
        12258914_5   rtx6000      run    minht  R   11:01:14      1 gpu130
        12258914_6   rtx6000      run    minht  R   11:01:14      1 gpu132
        12258914_7   rtx6000      run    minht  R   11:01:14      1 gpu132
          12260309   rtx6000    4-mse joaodick  R    1:39:46      1 gpu127
          12260315   rtx6000    2-mse joaodick  R    1:32:31      1 gpu127
          12230309   rtx6000 diffusio skhandel  R    1:39:46      1 gpu131
          12230310   rtx6000 diffusio skhandel  R    1:39:46      1 gpu140
          12233136   rtx6000 diffusio skhandel  R    1:39:46      1 gpu135
          12233137   rtx6000 diffusio skhandel  R    1:39:46      1 gpu137
          12259106   rtx6000 MaxViTRN     momo  R    4:25:01      1 gpu125
          12259116   rtx6000 MaxViTRN     momo  R    3:32:04      1 gpu121
          12259123   rtx6000 MaxViTRN     momo  R    3:19:30      1 gpu133
          12259121   rtx6000 MaxViTRN     momo  R    3:22:21      1 gpu126
          12260171      t4v1  jupyter ws_aalip  R    2:17:58      1 gpu019
          12259052      t4v1 train_dp  yanting  R    9:05:30      1 gpu017
          12260393      t4v1     bash lilygoli  R      20:47      1 gpu025
          12260343      t4v1  jupyter ganojess  R      46:13      1 gpu022
          12260328      t4v1     bash   jewtay  R    1:03:43      1 gpu023
          12258893      t4v1 CRBM_rel  roeland  R      45:51      1 gpu024
          12258940      t4v1 CRBM_rel  roeland  R      12:46      1 gpu020
          12258938      t4v1 CRBM_rel  roeland  R      40:48      1 gpu025
          12258939      t4v1 CRBM_rel  roeland  R      40:48      1 gpu018
          12260152      t4v1 jupyter_ joaodick  R    2:36:17      1 gpu018
          12255643      t4v1  cnn_enc pedanana  R    1:00:29      1 gpu026
        12256074_4      t4v1      mlp    mskrt  R    3:38:59      1 gpu018
        12256067_0      t4v1      mlp    mskrt  R      36:46      1 gpu019
        12256074_7      t4v1      mlp    mskrt  R      36:46      1 gpu019
        12256060_3      t4v1      mlp    mskrt  R      29:11      1 gpu021
        12256060_8      t4v1      mlp    mskrt  R      29:11      1 gpu021
       12256058_15      t4v1      mlp    mskrt  R      33:00      1 gpu022
       12256059_23      t4v1      mlp    mskrt  R      33:00      1 gpu022
        12256059_1      t4v1      mlp    mskrt  R      35:13      1 gpu024
       12256074_15      t4v1      mlp    mskrt  R      35:13      1 gpu024
        12256062_9      t4v1      mlp    mskrt  R      24:49      1 gpu020
       12256061_33      t4v1      mlp    mskrt  R      27:32      1 gpu026
       12256070_11      t4v1      mlp    mskrt  R      27:32      1 gpu026
        12256079_8      t4v1      mlp    mskrt  R      27:32      1 gpu026
        12256065_2      t4v1      mlp    mskrt  R    1:38:42      1 gpu022
       12256061_32      t4v1      mlp    mskrt  R    1:03:55      1 gpu019
